umur,ratio_skor_kredit_jumlah_pinjaman,pekerjaan_Kontrak,pekerjaan_Freelance,bins_jumlah_pinjaman,bins_skor_kredit,bins_pendapatan,bins_umur,ratio_pendapatan_jumlah_pinjaman,pendapatan,ratio_pendapatan_skor_kredit,ratio_umur_jumlah_pinjaman,ratio_umur_skor_kredit,ratio_umur_pendapatan,jumlah_pinjaman,skor_kredit,pekerjaan_Tetap,disetujui_encoded
0.5128205128205129,0.5790087069581739,True,False,0.0,0.25,0.5,0.5,0.35248162158839635,0.41098602260906536,0.3558018819503186,0.46997727133255074,0.43944138210784445,0.16188705162898248,0.08343051467591886,0.36389684813753576,False,1
0.5384615384615384,0.4096388252147305,False,False,0.25,1.0,0.25,0.5,0.18042515333396528,0.33942894417089786,0.2278257776487673,0.2796007325773756,0.3283600074001467,0.19815438418313566,0.2566720018306128,0.7478510028653296,True,1
0.5897435897435898,0.38238543580440054,False,False,0.25,1.0,0.5,0.5,0.1898287281776695,0.39842528661576737,0.260766467172853,0.2732713494486201,0.3480558156623641,0.18298512885243173,0.2881343005292639,0.7793696275071631,True,1
0.05128205128205132,0.26903849930608137,False,False,0.5,1.0,0.25,0.0,0.08432571396450798,0.2342580092169517,0.14007755924852744,0.06345440209148392,0.03190772912266343,0.11844805634237482,0.46629977756732377,0.9197707736389682,True,0
0.8461538461538461,0.46632833836090604,False,True,0.0,0.5,0.0,1.0,0.07162799364536357,0.02912739938451875,0.041696506716413645,0.4802489067551614,0.5874130466178444,0.7608489054877025,0.17000778038827477,0.5272206303724927,False,0
0.6923076923076924,0.04243253004381245,False,True,1.0,0.0,0.25,0.75,0.02898246289919093,0.17877073632870213,0.18422095251104662,0.10018333224134085,0.5943834862936292,0.3655500265944977,0.8952266799809515,0.2951289398280801,False,0
0.923076923076923,0.028743081392320236,False,True,1.0,0.0,1.0,1.0,0.14971642223954656,0.931279768218676,0.816807250223419,0.12044605015845625,0.7762822549140912,0.10471511493024757,0.9616461757962983,0.26361031518624634,False,1
0.9487179487179488,0.17482112328144453,False,True,0.5,0.0,0.5,1.0,0.13565313958311656,0.3680653803379281,0.35363433235555275,0.2916894009696537,0.8093153056982406,0.2767843941102397,0.4136931426788395,0.24068767908309452,False,1
0.6666666666666666,0.21801970867600315,True,False,0.5,0.25,0.75,0.75,0.24573604532944307,0.6659738322322863,0.562882864669984,0.24334316586727342,0.5516977783550655,0.11821319943433473,0.3736663940580197,0.3467048710601719,False,0
0.02564102564102566,0.23775162923118767,False,True,0.25,0.0,0.75,0.0,0.2998345919129811,0.7496743072977033,0.6513649659024593,0.09017590634086947,0.1241428399840579,0.017816235730976064,0.3272088555163829,0.2951289398280801,False,0
0.5384615384615384,0.4557766818354768,True,False,0.0,0.25,0.25,0.5,0.2291990521974925,0.29450466031906064,0.272618668125279,0.399459149892776,0.4734947608830504,0.22236113758268858,0.13638722343722978,0.3237822349570201,False,0
0.5897435897435898,0.1784377256483953,True,False,0.5,0.5,1.0,0.5,0.27797707146603656,0.9830903284490284,0.7324315657487983,0.16830334726590182,0.4299925677053975,0.062354926362717965,0.5103972426922053,0.5214899713467047,False,1
0.717948717948718,0.6648695034522841,True,False,0.0,0.25,0.25,0.75,0.24358645398120524,0.19434839973636883,0.18957672432554432,0.6619180349771806,0.5909941539354889,0.3563331011115182,0.04817801687358905,0.33810888252148996,False,0
0.8205128205128206,0.13952909335042127,False,True,0.5,0.0,0.0,0.75,0.07269752199215317,0.1613761140765326,0.2180322325120961,0.2639089827588794,0.8504697292278632,0.43339676971299956,0.4075734709505099,0.04011461318051568,False,0
0.5897435897435898,0.12261634963362048,False,False,0.75,0.75,0.25,0.5,0.07344739495972093,0.32970210752253615,0.24122526204362973,0.1174706785314667,0.3947563455472529,0.2153985073526676,0.7083491432356158,0.6246418338108883,True,0
0.7692307692307693,0.632837824063736,True,False,0.0,0.75,1.0,0.75,0.6406993394749073,0.9047247237204554,0.6459209672572256,0.5680582278164513,0.5109323293429165,0.09126874566006829,0.09887215295269555,0.5988538681948423,False,1
0.8461538461538461,0.11450126432399885,True,False,0.75,0.25,0.0,1.0,0.03684129519976162,0.11554771282406653,0.12895731670118468,0.19091385752840576,0.6885614347827841,0.5204909702845728,0.5972946912452066,0.3209169054441261,False,1
0.8205128205128206,0.04943388367047591,False,True,1.0,0.0,0.0,0.75,0.02517738373366782,0.1427014742630998,0.1564586732115891,0.12602223159872092,0.6912048296235229,0.46189859320924825,0.847891127856984,0.2836676217765042,False,0
0.28205128205128205,0.2897781008960296,True,False,0.25,0.25,0.0,0.25,0.07187736225168939,0.08964025169807902,0.10324465221341156,0.18402334377669108,0.28377428009430006,0.31841677630172815,0.28042742310364666,0.3610315186246418,False,1
0.8461538461538461,0.23391969454530756,True,False,0.5,0.25,0.75,1.0,0.2621407739126329,0.7012852225140912,0.5723451341139542,0.2955575070612707,0.6494062271402529,0.1361923941509131,0.3642957177000071,0.3954154727793695,False,0
0.20512820512820518,0.37058564328682553,False,True,0.0,0.25,0.0,0.25,0.0957972139788249,0.09476238506146709,0.11041761766805142,0.20698713058363408,0.23886423241208377,0.2768797738437303,0.19691234560262863,0.335243553008596,False,0
0.3846153846153846,0.08882298105254449,False,False,1.0,1.0,0.75,0.25,0.1366504364827305,0.7952386883495295,0.5284710076479213,0.05790908952058563,0.2464398578887449,0.059503757662663394,0.8967851099830794,0.7306590257879657,True,1
0.05128205128205132,0.1342314649940888,True,False,0.75,0.5,0.25,0.0,0.09237324091173998,0.3531154354202404,0.2858014912669412,0.04099143650950832,0.10293835460670325,0.07929048323585208,0.6059697825999272,0.4756446991404011,False,1
0.6410256410256411,0.07625194082071352,False,True,1.0,0.75,0.75,0.75,0.11436704876262344,0.6428575344285818,0.47681680029183005,0.09782611129818677,0.45031951528945546,0.11931005518749496,0.8641387695022001,0.5530085959885387,False,1
